Node,Original Degree Centrality,Perturbed Degree Centrality,Percent Change Degree Centrality,Original Betweenness Centrality,Perturbed Betweenness Centrality,Percent Change Betweenness Centrality,Original Closeness Centrality,Perturbed Closeness Centrality,Percent Change Closeness Centrality,Original Eigenvector Centrality,Perturbed Eigenvector Centrality,Percent Change Eigenvector Centrality
CNR2,0.1282051282051282,0.10526315789473684,-17.89473684210526,0.0010121457489878543,0.0021337126600284497,110.81081081081084,0.12980769230769232,0.05921052631578947,-54.38596491228071,5.546036778875715e-05,4.117007752937449e-12,-99.99999257666705
GPR55,0.3076923076923077,0.2894736842105263,-5.921052631578949,0.0,0.0,,0.3908692933083177,0.36634349030470914,-6.274681440443216,0.9998602642105129,0.9998520418496424,-0.0008223509989163013
GPR18,0.15384615384615385,0.13157894736842105,-14.473684210526324,0.0043859649122807015,0.0017780938833570413,-59.45945945945945,0.05128205128205128,0.05263157894736842,2.631578947368419,4.727864368183692e-16,1.795853027234716e-14,3698.4444717153133
GPR119,0.07692307692307693,0.07894736842105263,2.6315789473684097,0.0,0.0,,0.0,0.0,,3.3794598771863357e-19,1.9584002478023102e-17,5695.009613881943
TRPV1,0.20512820512820512,0.18421052631578946,-10.197368421052634,0.0006747638326585695,0.0007112375533428165,5.405405405405415,0.2975708502024292,0.2714285714285714,-8.785228377065128,0.011212134261670155,0.017199573169374354,53.401419997019495
TRPV2,0.0,0.0,,0.0,0.0,,0.0,0.0,,3.3794598771863357e-19,1.9584002478023102e-17,5695.009613881943
TRPV3,0.0,0.0,,0.0,0.0,,0.0,0.0,,3.3794598771863357e-19,1.9584002478023102e-17,5695.009613881943
TRPV4,0.02564102564102564,0.02631578947368421,2.631578947368419,0.0,0.0,,0.0,0.0,,3.3794598771863357e-19,1.9584002478023102e-17,5695.009613881943
PPARA,0.23076923076923075,0.23684210526315788,2.631578947368422,0.014619883040935673,0.016714082503556188,14.32432432432432,0.19433198380566802,0.19944598337950137,2.631578947368411,3.429324694782444e-09,3.7012418792477377e-08,979.2917581933851
PPARD,0.07692307692307693,0.07894736842105263,2.6315789473684097,0.0006747638326585695,0.0007112375533428165,5.405405405405415,0.057692307692307696,0.05921052631578947,2.6315789473684097,1.6535730973671517e-13,4.117007752937448e-12,2389.7645949203097
PPARG,0.10256410256410256,0.10526315789473684,2.631578947368419,0.0,0.0,,0.0,0.0,,3.3794598771863357e-19,1.9584002478023102e-17,5695.009613881943
NR1I2,0.0,0.0,,0.0,0.0,,0.0,0.0,,3.3794598771863357e-19,1.9584002478023102e-17,5695.009613881943
NAPEPLD,0.2564102564102564,0.23684210526315788,-7.631578947368419,0.0035987404408457037,0.004623044096728307,28.462837837837853,0.20683760683760682,0.18421052631578946,-10.939538929969551,0.0001118775018777284,0.0002628094321811635,134.9082056447681
PLCB1,0.10256410256410256,0.10526315789473684,2.631578947368419,0.0006747638326585695,0.0007112375533428165,5.405405405405415,0.02564102564102564,0.02631578947368421,2.631578947368419,2.3656219140304345e-16,8.989057137412605e-15,3699.870589674017
PLCE1,0.02564102564102564,0.02631578947368421,2.631578947368419,0.0,0.0,,0.034188034188034185,0.03508771929824561,2.6315789473684257,8.267882384135148e-14,2.058513668469963e-12,2389.7713499407646
DAGLA,0.20512820512820512,0.18421052631578946,-10.197368421052634,0.0,0.0,,0.02564102564102564,0.02631578947368421,2.631578947368419,2.3656219140304345e-16,8.989057137412605e-15,3699.870589674017
DAGLB,0.1794871794871795,0.15789473684210525,-12.03007518796993,0.004048582995951417,0.0,-100.0,0.10256410256410256,0.10526315789473684,2.631578947368419,3.409922810092328e-09,3.669472453877453e-08,976.1159880267488
FAAH,0.3846153846153846,0.3684210526315789,-4.210526315789471,0.0,0.0,,0.0,0.0,,3.3794598771863357e-19,1.9584002478023102e-17,5695.009613881943
NAAA,0.10256410256410256,0.10526315789473684,2.631578947368419,0.0022492127755285645,0.0035561877667140826,58.10810810810815,0.057692307692307696,0.05921052631578947,2.6315789473684097,1.9319442766408055e-11,3.156447486754852e-10,1533.8191142050784
MGLL,0.2564102564102564,0.23684210526315788,-7.631578947368419,0.0015744489428699956,0.0024893314366998577,58.10810810810809,0.05128205128205128,0.05263157894736842,2.631578947368419,8.291504808676672e-14,2.0674831416048965e-12,2393.4956793866563
ABHD6,0.1794871794871795,0.18421052631578946,2.631578947368415,0.0,0.0,,0.07692307692307693,0.07894736842105263,2.6315789473684097,1.9402121252303417e-11,3.1770324275995264e-10,1537.4665358935172
ABHD12,0.15384615384615385,0.15789473684210525,2.6315789473684097,0.0,0.0,,0.1282051282051282,0.13157894736842105,2.6315789473684243,4.801171316609988e-07,3.397931492290519e-06,607.7296909891836
PTGS2,0.15384615384615385,0.15789473684210525,2.6315789473684097,0.0067476383265856945,0.007112375533428165,5.405405405405415,0.07692307692307693,0.07894736842105263,2.6315789473684097,8.315127233218212e-14,2.0764526147398326e-12,2397.198847955789
ALOX5,0.07692307692307693,0.07894736842105263,2.6315789473684097,0.0,0.0,,0.08205128205128205,0.08421052631578947,2.631578947368419,1.9484563513953365e-11,3.197527673712853e-10,1541.0568660791537
ALOX12,0.07692307692307693,0.07894736842105263,2.6315789473684097,0.0,0.0,,0.0,0.0,,3.3794598771863357e-19,1.9584002478023102e-17,5695.009613881943
ALOX15,0.07692307692307693,0.07894736842105263,2.6315789473684097,0.0,0.0,,0.02564102564102564,0.02631578947368421,2.631578947368419,2.3656219140304345e-16,8.989057137412605e-15,3699.870589674017
FABP1,0.05128205128205128,0.05263157894736842,2.631578947368419,0.0,0.0,,0.0,0.0,,3.3794598771863357e-19,1.9584002478023102e-17,5695.009613881943
FABP3,0.05128205128205128,0.05263157894736842,2.631578947368419,0.0,0.0,,0.05128205128205128,0.05263157894736842,2.631578947368419,4.727864368183692e-16,1.795853027234716e-14,3698.4444717153133
FABP5,0.10256410256410256,0.10526315789473684,2.631578947368419,0.0019118308591992799,0.0021337126600284497,11.605723370429287,0.05128205128205128,0.05263157894736842,2.631578947368419,4.727864368183692e-16,1.795853027234716e-14,3698.4444717153133
FABP7,0.02564102564102564,0.02631578947368421,2.631578947368419,0.0,0.0,,0.02564102564102564,0.02631578947368421,2.631578947368419,2.3656219140304345e-16,8.989057137412605e-15,3699.870589674017
HSPA1A,0.0,0.0,,0.0,0.0,,0.0,0.0,,3.3794598771863357e-19,1.9584002478023102e-17,5695.009613881943
SLCO2B1,0.0,0.0,,0.0,0.0,,0.0,0.0,,3.3794598771863357e-19,1.9584002478023102e-17,5695.009613881943
SLC22A5,0.0,0.0,,0.0,0.0,,0.0,0.0,,3.3794598771863357e-19,1.9584002478023102e-17,5695.009613881943
GNAI1,0.1282051282051282,0.10526315789473684,-17.89473684210526,0.0,0.0,,0.17582417582417584,0.1172248803827751,-33.328349282296664,0.01110027367384064,9.44866743300848e-10,-99.99999148789685
GNAI2,0.10256410256410256,0.07894736842105263,-23.026315789473685,0.0,0.0,,0.0,0.0,,3.3794598771863357e-19,1.9584002478023102e-17,5695.009613881943
GNAI3,0.10256410256410256,0.07894736842105263,-23.026315789473685,0.0,0.0,,0.13495276653171387,0.05263157894736842,-61.0,5.546036770631493e-05,2.0674831416048965e-12,-99.99999627214311
ARRB1,0.10256410256410256,0.07894736842105263,-23.026315789473685,0.005285650022492127,0.0007112375533428165,-86.54399079930994,0.1282051282051282,0.02631578947368421,-79.47368421052632,5.546036762363641e-05,8.989057137412605e-15,-99.99999998379192
GRK2,0.05128205128205128,0.05263157894736842,2.631578947368419,0.0,0.0,,0.0,0.0,,3.3794598771863357e-19,1.9584002478023102e-17,5695.009613881943
AKT1,0.1282051282051282,0.13157894736842105,2.6315789473684243,0.0,0.0,,0.23852116875372686,0.20417422867513613,-14.39995462794917,0.00552288674130258,3.397931492290522e-06,-99.93847544497193
